Sample;Sampling_date;Sampling_site;Ct
QC_01_cpTP24h_Raw;2021-02-26;01-Int_East;36.7125707644721
QC_02_cpTP24h_Raw;2021-02-26;02-Int_West;36.0976260646085
QC_01_cpTP24h_Raw;2021-02-27;01-Int_East;35.0591204577751
QC_02_cpTP24h_Raw;2021-02-27;02-Int_West;36.179344195807
QC_01_cpTP24h_Raw;2021-02-28;01-Int_East;36.2298056663322
QC_02_cpTP24h_Raw;2021-02-28;02-Int_West;35.9150949648384
QC_03-1_cpTP24h_Raw;2021-02-28;03.1-CHSLD_Charlesbourg_Tank;36.8351399698167
QC_01_cpTP24h_Raw;2021-03-01;01-Int_East;38.3140449442537
QC_02_cpTP24h_Raw;2021-03-01;02-Int_West;34.7836065390577
QC_01_cpTP24h_Raw;2021-03-02;01-Int_East;36.3623226089671
QC_02_cpTP24h_Raw;2021-03-02;02-Int_West;35.7362462003585
QC_01_cpTP24h_Raw;2021-03-03;01-Int_East;34.9374797690321
QC_02_cpTP24h_Raw;2021-03-03;02-Int_West;33.836485242472
QC_01_cpTP24h_Raw;2021-03-04;01-Int_East;35.2322210565877
